kanji;hiragana;meaning;pos;jlpt;sentenceEN;sentenceJP;meaning2;pos2;meaning3;pos3;meaning4;pos4;ref1;ref2;ref3
心忙しい;こころぜわしい;restless;adj-i;0;;;;;;;;;;;
痛い;いたい;hurt, painful, sore;adj-i;5;That hurts.;<ruby>痛<rt>いた</rt></ruby>い。;painful, sore;adj-i;cringy, embarrassing;adj-i;;;痛いところを突く;痛い目にあう;痛い目に遭わせる
痛いところを突く;いたいところをつく;to hit a nerve;exp, v5k;0;;;;;;;;;;;
痛い目にあう;いたいめにあう;to go through a bitter experience;exp, v5u;0;;;;;;;;;;;
痛い目に遭わせる;いたいめにあわせる;to make (a person) pay for (something);exp, v1;0;;;;;;;;;;;
一;いち;one;num, pref;5;Again!;もう<ruby>一回<rt>いっかい</rt></ruby>！;one, 1;num, pref;best;adj-no, suf;first, foremost;adj-no;一ヶ月;一箇所;一箇年
一ヶ月;いっかげつ;one month;n;0;;;;;;;;;;;
一箇所;いっかしょ;one place;n;0;;;;;;;;;;;
一箇年;いっかねん;one year;n;0;;;;;;;;;;;
一日;いちにち;one day (duration);n, adv;5;One more day to go.;あと<ruby>一日<rt>ついたち</rt></ruby>だ。;one day;n, adv;all day (long), the whole day, from morning till night;adv, n;first day of the month;n;一日中;一日の長;一日一日
一日中;いちにちじゅう;all day long;adv, n;0;;;;;;;;;;;
一日の長;いちじつのちょう;slight superiority (in knowledge, experience, ability, etc.);exp, n;0;;;;;;;;;;;
一日一日;いちにちいちにち;gradually;adv, adv-to;0;;;;;;;;;;;
一番;いちばん;best (most), first, number one;n, adj-no;5;I'm first.;<ruby>私<rt>わたし</rt></ruby>が<ruby>一番<rt>いちばん</rt></ruby>。;number one, first, first place;n, adj-no;best, most;adv;game, round, bout;n;一番乗り;一番目;一番手
一番乗り;いちばんのり;first rider in a charge;n, vs, vi;0;;;;;;;;;;;
一番目;いちばんめ;first (in a series);n, adj-no;0;;;;;;;;;;;
一番手;いちばんて;first person (to do);n;0;;;;;;;;;;;
いつ;いつ;when;pn;5;Who's that guy?;あいつ<ruby>誰<rt>だれ</rt></ruby>？;when, at what time, how soon;pn;normal times, ordinary days;pn;;;いつ何時;食いつきがいい;イツメン
いつ何時;いつなんどき;at any time;adv;0;;;;;;;;;;;
食いつきがいい;くいつきがいい;(bait is) taking well;exp, adj-i;0;;;;;;;;;;;
イツメン;イツメン;one's group of (close) friends;n;0;;;;;;;;;;;
五日;いつか;five days, fifth day of the month;n;5;Give me five days.;<ruby>五日<rt>いつか</rt></ruby><ruby>待<rt>ま</rt></ruby>ってくれ。;5th day of the month;n;five days;n;;;五日熱;１５日;２５日
五日熱;いつかねつ;trench fever;n;0;;;;;;;;;;;
１５日;じゅうごにち;15th day of the month;n;0;;;;;;;;;;;
２５日;にじゅうごにち;25th day of the month;n;0;;;;;;;;;;;
一緒;いっしょ;together;n;5;Come with me.;<ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>来<rt>き</rt></ruby>て。;(doing) together;n;one lump, one mixture, the same category;n;the same, identical;adj-no, n;糞も味噌も一緒;一緒に;一緒くた
糞も味噌も一緒;くそもみそもいっしょ;not distinguishing between what's good and bad;exp;0;;;;;;;;;;;
一緒に;いっしょに;together (with);adv;0;;;;;;;;;;;
一緒くた;いっしょくた;jumble;n;0;;;;;;;;;;;
五つ;いつつ;five things;num;5;She divided the cake into five pieces.;<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>ケーキ<rt>けーき</rt></ruby>を<ruby>五<rt>いつ</rt></ruby>つに<ruby>分<rt>わ</rt></ruby>けた。;five;num;five years of age;n;eight o'clock (old time system);n;五つ子;５つ星;
五つ子;いつつご;quintuplets;n;0;;;;;;;;;;;
５つ星;いつつぼし;five stars (rating);n, adj-no;0;;;;;;;;;;;
いつも;いつも;always, usually, every time, never (with neg. verb);adv;5;Is it always like this?;いつもこうなの？;always, all the time, at all times;adv;never;adv;usual, regular, habitual, customary;adj-no, n;いつも通り;いつもの通りに;いつもの様に
いつも通り;いつもどおり;as always;adv, adj-no;0;;;;;;;;;;;
いつもの通りに;いつものとおりに;as always;exp, adv;0;;;;;;;;;;;
いつもの様に;いつものように;as usual;exp, adv;0;;;;;;;;;;;
犬;いぬ;dog;n;5;;;dog (Canis (lupus) familiaris), canine;n;squealer, rat, snitch, informer, informant, spy;n;loser, asshole;n;犬かき;犬ぞり;犬も歩けば棒に当たる
犬かき;いぬかき;dog paddle (swimming style);n;0;;;;;;;;;;;
犬ぞり;いぬぞり;dog sled;n;0;;;;;;;;;;;
犬も歩けば棒に当たる;いぬもあるけばぼうにあたる;bad things happen to those who attempt things;exp, v5r;0;;;;;;;;;;;
今;いま;now;n, adj-no, adv;5;;;now, the present time, just now, soon, immediately;n, adj-no, adv;another, more;adv;;;今日この頃;今はこれまで;今一
今日この頃;きょうこのごろ;these days;exp;0;;;;;;;;;;;
今はこれまで;いまはこれまで;unavoidable;conj, exp, adv;0;;;;;;;;;;;
今一;いまいち;not quite (right);adv;0;;;;;;;;;;;
意味;いみ;meaning, significance;n, vs, vt;5;What do you mean?;どういう<ruby>意味<rt>いみ</rt></ruby>？;meaning, significance, sense;n, vs, vt;;;;;意味ありげ;意味合い;意味深長
意味ありげ;いみありげ;meaningful;exp, adj-na;0;;;;;;;;;;;
意味合い;いみあい;implication;n;0;;;;;;;;;;;
意味深長;いみしんちょう;with profound (and often hidden) meaning;adj-na, n;0;;;;;;;;;;;
妹;いもうと;younger sister (humble);n;5;My sister is pretty.;<ruby>妹<rt>いもうと</rt></ruby>は<ruby>美人<rt>びじん</rt></ruby>だ。;younger sister;n;;;;;妹背;妹さん;妹婿
妹背;いもせ;couple;n;0;;;;;;;;;;;
妹さん;いもうとさん;younger sister;n;0;;;;;;;;;;;
妹婿;いもうとむこ;the husband of one's younger sister;n;0;;;;;;;;;;;
嫌;いや;disagreeable, detestable, unpleasant;adj-na;5;No good guy.;<ruby>嫌<rt>いや</rt></ruby>な<ruby>奴<rt>やつ</rt></ruby>。;disliking, not wanting, unwilling (to do), reluctant;adj-na;unpleasant, disagreeable, nasty, horrible, disgusting, undesirable, unwelcome;adj-na;no!, quit it!, stop!;int;嫌気がさす;嫌われ者;嫌事
嫌気がさす;いやけがさす;to be tired of;exp, v5s;0;;;;;;;;;;;
嫌われ者;きらわれもの;hated person;n;0;;;;;;;;;;;
嫌事;いやこと;unpleasant comment;n;0;;;;;;;;;;;
入口;いりぐち;entrance;n;5;He stood by the entrance.;<ruby>入口<rt>いりぐち</rt></ruby>の<ruby>側<rt>がわ</rt></ruby>で<ruby>立<rt>た</rt></ruby>った。;entrance, entry, gate, approach, mouth;n;;;;;入り口点;出入り口;取り入れ口
入り口点;いりぐちてん;entry point;n;0;;;;;;;;;;;
出入り口;でいりぐち;exit and entrance;n;0;;;;;;;;;;;
取り入れ口;とりいれぐち;an intake;n;0;;;;;;;;;;;
居る;いる;(humble) to be (animate), to exist;v1, vi;5;Are they in?;<ruby>奴<rt>やつ</rt></ruby>ら、<ruby>中<rt>なか</rt></ruby>に<ruby>居<rt>い</rt></ruby>るの？;to be (of animate objects), to exist;v1, vi;to stay;v1, vi;to be ...-ing;aux-v, v1;群れ居る;並み居る;腹がいる
群れ居る;むれいる;to crowd in;v1, vi;0;;;;;;;;;;;
並み居る;なみいる;to sit in a row;v1, vi;0;;;;;;;;;;;
腹がいる;はらがいる;to calm down;exp, v1;0;;;;;;;;;;;
要る;いる;to need;v5r, vi;5;Do you want a car?;<ruby>車<rt>くるま</rt></ruby>が<ruby>要<rt>い</rt></ruby>るの？;to be needed, to be necessary, to be required, to be wanted, to need, to want;v5r, vi;;;;;;;
入れる;いれる;to put in;v1, vt;5;Would you like ice?;<ruby>氷<rt>こおり</rt></ruby>は<ruby>入<rt>い</rt></ruby>れる？;to put in, to let in, to take in, to bring in, to insert, to install (e.g. software), to set (a jewel, etc.), to ink in (e.g. tattoo);v1, vt;to admit, to accept, to employ, to hire;v1, vt;to accept, to comply, to grant, to adopt (a policy, etc.), to take (advice, etc.), to listen to, to pay attention to;v1, vt;取り入れる;茶々を入れる;活を入れる
取り入れる;とりいれる;to take in;v1, vt;0;;;;;;;;;;;
茶々を入れる;ちゃちゃをいれる;to interrupt (with frivolous remarks, silly jokes, etc.);exp, v1;0;;;;;;;;;;;
活を入れる;かつをいれる;to apply the art of resuscitation (in judo, etc.);exp, v1;0;;;;;;;;;;;
色;いろ;color;n;5;What colour is it?;<ruby>何色<rt>なにいろ</rt></ruby>なの？;colour, color, hue, tint, tinge, shade;n;complexion, skin colour, skin color;n;look (on one's face), expression;n;色刷り;色ボケ;色々
色刷り;いろずり;colour printing;n;0;;;;;;;;;;;
色ボケ;いろぼけ;person obsessed with thoughts of sex;n, vs, vi;0;;;;;;;;;;;
色々;いろいろ;various;adj-na, adj-no;0;;;;;;;;;;;
色々;いろいろ;various;adj-na, adj-no;5;Thanks for everything.;<ruby>色々<rt>いろいろ</rt></ruby>ありがとう。;various, a variety of, all sorts of, many (different);adj-na, adj-no;variously, in various ways, in many ways;adv, adv-to;various things, this and that;n;色々あって;その他いろいろ;
色々あって;いろいろあって;what with this and that;exp;0;;;;;;;;;;;
その他いろいろ;そのほかいろいろ;and various other things;exp, adj-na;0;;;;;;;;;;;
上;うえ;above (up, top, etc.), over, on top of;n, adj-no;5;That's all.;<ruby>以上<rt>いじょう</rt></ruby>。;above, over, up;n, adj-no;top, summit, upper part, head (e.g. of a staircase);n;surface, on (top of);n;上がり框;上蓋;上頸
上がり框;あがりがまち;piece of wood at the front edge of an entranceway floor;n;0;;;;;;;;;;;
上蓋;あげぶた;trap door;n;0;;;;;;;;;;;
上頸;あげくび;neckband;n;0;;;;;;;;;;;
後ろ;うしろ;back, behind, rear;n, adj-no;5;Look back!;<ruby>後<rt>うし</rt></ruby>ろを<ruby>見<rt>み</rt></ruby>ろ。;back, behind, rear;n, adj-no;;;;;後ろ足;後ろ指を指される;後ろカゴ
後ろ足;うしろあし;hind leg;n;0;;;;;;;;;;;
後ろ指を指される;うしろゆびをさされる;to be talked about behind one's back;exp, v1;0;;;;;;;;;;;
後ろカゴ;うしろカゴ;rear basket (e.g. on a bicycle);n;0;;;;;;;;;;;
薄い;うすい;thin, weak;adj-i;5;He is always in the background.;あの<ruby>人<rt>にん</rt></ruby>は<ruby>影<rt>かげ</rt></ruby>が<ruby>薄<rt>うす</rt></ruby>い。;thin (of an object);adj-i;pale, light, faint;adj-i;watery, thin, diluted;adj-i;薄い板;薄い色;薄い本
薄い板;うすいいた;sheet;exp, n;0;;;;;;;;;;;
薄い色;うすいいろ;light color;exp, n;0;;;;;;;;;;;
薄い本;うすいほん;thin dōjinshi, usually featuring adult content;n;0;;;;;;;;;;;
歌;うた;a song;n;5;I can sing.;<ruby>歌<rt>うた</rt></ruby>える。;song, singing;n;classical Japanese poem (esp. tanka);n;modern poetry;n;歌かるた;歌うたい;歌合
歌かるた;うたかるた;utagaruta;n;0;;;;;;;;;;;
歌うたい;うたうたい;singer;n;0;;;;;;;;;;;
歌合;うたあわせ;poetry contest;n;0;;;;;;;;;;;
歌う;うたう;to sing;v5u, vt, vi;5;I can sing.;<ruby>歌<rt>うた</rt></ruby>える。;to sing;v5u, vt, vi;to sing of (love, beauty, etc.) in a poem, to express in the form of a poem, to recite (a poem);v5u, vt;;;歌うたい;空で歌う;喜び歌う
歌うたい;うたうたい;singer;n;0;;;;;;;;;;;
空で歌う;そらでうたう;to sing from memory;exp, v5u;0;;;;;;;;;;;
喜び歌う;よろこびうたう;to rejoice and sing;v5u;0;;;;;;;;;;;
うち;うち;home, house, my place;n;5;Are you at home now?;<ruby>今<rt>いま</rt></ruby>、お<ruby>家<rt>いえ</rt></ruby>？;one's house, one's home, one's family, one's household;n;house;n;;;暗々のうちに;うちなーすば;嫌よ嫌よも好きのうち
暗々のうちに;あんあんのうちに;secretly;exp, adv;0;;;;;;;;;;;
うちなーすば;うちなーすば;Okinawa soba (thick noodles served in a pork soup);n;0;;;;;;;;;;;
嫌よ嫌よも好きのうち;いやよいやよもすきのうち;saying no is also an expression of fondness;exp;0;;;;;;;;;;;
生まれる;うまれる;to be born;v1, vi;5;Was that before or after I was born?;それって、<ruby>私<rt>わたし</rt></ruby>が<ruby>生<rt>う</rt></ruby>まれる<ruby>前<rt>まえ</rt></ruby>？<ruby>後<rt>のち</rt></ruby>？;to be born;v1, vi;;;;;貧乏に生まれる;口から先に生まれる;口から生まれる
貧乏に生まれる;びんぼうにうまれる;to be born poor;exp, v1;0;;;;;;;;;;;
口から先に生まれる;くちからさきにうまれる;to be of an overly talkative disposition since birth;exp, v1;0;;;;;;;;;;;
口から生まれる;くちからうまれる;to be of an overly talkative disposition since birth;exp, v1;0;;;;;;;;;;;
海;うみ;sea, beach;n;5;A drop in the bucket.;<ruby>大海<rt>たいかい</rt></ruby>の<ruby>一滴<rt>いってき</rt></ruby>。;sea, ocean, waters;n;;;;;海辺;海がめ;海の藻屑
海辺;うみべ;beach;n, adj-no;0;;;;;;;;;;;
海がめ;うみがめ;sea turtle;n;0;;;;;;;;;;;
海の藻屑;うみのもくず;watery grave;exp, n;0;;;;;;;;;;;
売る;うる;to sell (v.t.);v5r, vt;5;He sells fruit.;<ruby>彼<rt>かれ</rt></ruby>は<ruby>果物<rt>くだもの</rt></ruby>を<ruby>売<rt>う</rt></ruby>る。;to sell;v5r, vt;to betray, to sell out (one's friend, country, etc.);v5r, vt;to make (oneself) known, to establish (a reputation) for oneself;v5r, vt;油を売る;喧嘩を売る;売るほど
油を売る;あぶらをうる;to loaf around (on the job);exp, v5r;0;;;;;;;;;;;
喧嘩を売る;けんかをうる;to pick a fight;exp, v5r;0;;;;;;;;;;;
売るほど;うるほど;so many (that one would want to sell some);adv;0;;;;;;;;;;;
うるさい;うるさい;noisy, annoying;adj-i;5;Hey you, shut up!;うるさい！;noisy, loud;adj-i;annoying, troublesome, tiresome, persistent, importunate;adj-i;fussy, finicky, picky, particular, nagging, fastidious, bossy;adj-i;口うるさい;小うるさい;口がうるさい
口うるさい;くちうるさい;nagging;adj-i;0;;;;;;;;;;;
小うるさい;こうるさい;particular;adj-i;0;;;;;;;;;;;
口がうるさい;くちがうるさい;rumouring;exp, adj-i;0;;;;;;;;;;;
上着;うわぎ;coat, jacket;n;5;Where's your jacket?;あなたの<ruby>上着<rt>うわぎ</rt></ruby>はどこ？;coat, jacket, outerwear;n;top, upper-body garment;n;;;;;
絵;え;a painting, a picture, a drawing;n;5;;;picture, drawing, painting, sketch;n;image (TV, film, etc.), picture, footage;n;;;絵葉書;絵を描く;絵かき
絵葉書;えはがき;picture postcard;n;0;;;;;;;;;;;
絵を描く;えをかく;to paint a picture;exp, v5k;0;;;;;;;;;;;
絵かき;えかき;painter;n;0;;;;;;;;;;;
映画;えいが;movie, film;n;5;;;movie, film, motion picture;n;;;;;映画館;映画化;映画監督
映画館;えいがかん;movie theatre;n;0;;;;;;;;;;;
映画化;えいがか;making (a book, etc.) into a film;n, vs, vt;0;;;;;;;;;;;
映画監督;えいがかんとく;movie director;n;0;;;;;;;;;;;
映画館;えいがかん;movie theater, cinema;n;5;;;movie theatre, movie theater, cinema;n;;;;;;;
英語;えいご;English (language);n;5;Speak English.;<ruby>英語<rt>えいご</rt></ruby>で<ruby>話<rt>はな</rt></ruby>せ！;English (language);n;;;;;英語基礎能力試験;英語版;英語塾
英語基礎能力試験;えいごきそのうりょくしけん;English Language Proficiency Test;n;0;;;;;;;;;;;
英語版;えいごばん;English version;n;0;;;;;;;;;;;
英語塾;えいごじゅく;private school for the study of English;n;0;;;;;;;;;;;
ええ;ええ;yes;int;5;Yes.;ええ。;yes, that is correct, right;int;um, errr, well;int;huh?;int;ええ格好しい;えっと;ええいままよ
ええ格好しい;ええかっこしい;person who always wants to make a good impression;n;0;;;;;;;;;;;
えっと;えっと;let me see;int;0;;;;;;;;;;;
ええいままよ;ええいままよ;what do I care;int;0;;;;;;;;;;;
駅;えき;station;n;5;Is that the station?;あれが<ruby>駅<rt>えき</rt></ruby>なの？;railway station, train station;n;staging post on a highway (in pre-modern Japan);n;counter for railway stations and bus stations;ctr;駅止め;駅貼りポスター;駅近
駅止め;えきどめ;delivery of freight to a station;n;0;;;;;;;;;;;
駅貼りポスター;えきばりポスター;advertising poster in a station;n;0;;;;;;;;;;;
駅近;えきちか;close to a station;adj-no, n;0;;;;;;;;;;;
エレベーター;エレベーター;elevator;n;5;Let's take the elevator!;<ruby>エレベーター<rt>えれべーたー</rt></ruby><ruby>使<rt>つか</rt></ruby>おう！;elevator, lift;n;elevator;n;;;エレベーターホール;エレベーターガール;エレベーター力士
エレベーターホール;エレベーターホール;elevator landing;n;0;;;;;;;;;;;
エレベーターガール;エレベーターガール;female elevator operator;n;0;;;;;;;;;;;
エレベーター力士;エレベーターりきし;wrestler who keeps going up and down the rankings;n;0;;;;;;;;;;;
～円;～えん;Yen;n;5;It's 50 yen.;５０<ruby>円<rt>えん</rt></ruby>です。;yen (currency of Japan);n;circle;n;;;１０円ハゲ;丸み;円形
１０円ハゲ;じゅうえんはげ;spot baldness;n;0;;;;;;;;;;;
丸み;まるみ;roundness;n;0;;;;;;;;;;;
円形;えんけい;round shape;n;0;;;;;;;;;;;
鉛筆;えんぴつ;pencil;n;5;This is a pencil.;これは<ruby>鉛筆<rt>えんぴつ</rt></ruby>。;pencil;n;;;;;鉛筆の芯;鉛筆柏槙;鉛筆削り
鉛筆の芯;えんぴつのしん;lead of a pencil;exp, n;0;;;;;;;;;;;
鉛筆柏槙;えんぴつびゃくしん;eastern red cedar (Juniperus virginiana);n;0;;;;;;;;;;;
鉛筆削り;えんぴつけずり;pencil sharpener;n;0;;;;;;;;;;;
お～;お～;honorable ~ (honorific);n;5;;;cord, strap, thong;n;string (of a musical instrument, bow, etc.);n;;;お待ちどおさま;お腹が空く;お取り寄せ
お待ちどおさま;おまちどおさま;I'm sorry to have kept you waiting;exp;0;;;;;;;;;;;
お腹が空く;おなかがすく;to get hungry;exp, v5k;0;;;;;;;;;;;
お取り寄せ;おとりよせ;ordering (online, mail);n;0;;;;;;;;;;;
美味しい;おいしい;delicious, tasty;adj-i;5;Yummy!;<ruby>美味<rt>おい</rt></ruby>しい！;good(-tasting), nice, delicious, tasty;adj-i;attractive (offer, opportunity, etc.), appealing, convenient, favorable, desirable, profitable;adj-i;;;おいしいところを持っていく;;
おいしいところを持っていく;おいしいところをもっていく;to take a big bite;exp, v5k-s;0;;;;;;;;;;;
多い;おおい;many, there are a lot;adj-i;5;I have many doubts.;<ruby>疑問<rt>ぎもん</rt></ruby>が<ruby>多<rt>おお</rt></ruby>い。;many, numerous, a lot;adj-i;large amount of, large quantity of, a lot, much;adj-i;frequent, common;adj-i;恐れ多い;大いに;一番多い
恐れ多い;おそれおおい;awesome;adj-i;0;;;;;;;;;;;
大いに;おおいに;very;adv;0;;;;;;;;;;;
一番多い;いちばんおおい;most numerous;exp, adj-i;0;;;;;;;;;;;
