kanji;hiragana;meaning;pos;jlpt;sentenceEN;sentenceJP;meaning2;pos2;meaning3;pos3;meaning4;pos4;ref1;ref2;ref3
あの;あの;that over there, like that, that way, um...;adj-pn;5;Who is that man?;あの<ruby>人<rt>にん</rt></ruby><ruby>誰<rt>だれ</rt></ruby>？;that, those, the;adj-pn;;;;;あのね;あの子;あの人
あのね;あのね;look here;int;0;;;;;;;;;;;
あの子;あのこ;that child;pn;0;;;;;;;;;;;
あの人;あのひと;he;pn;0;;;;;;;;;;;
浴びる;あびる;to bathe, to shower;v1, vt;5;Are you going to shower?;<ruby>シャワー<rt>しゃわー</rt></ruby><ruby>浴<rt>あ</rt></ruby>びるの？;to dash over oneself (e.g. water), to take (e.g. shower), to bask in (e.g. the sun), to bathe in, to be flooded with (e.g. light), to be covered in;v1, vt;to suffer (e.g. an attack), to draw (e.g. criticism, attention, praise), to have heaped upon, to be showered with;v1, vt;;;日の目を浴びる;フットライトを浴びる;脚光を浴びる
日の目を浴びる;ひのめをあびる;to see the light of day;exp, v1;0;;;;;;;;;;;
フットライトを浴びる;フットライトをあびる;to appear on the stage;exp, v1;0;;;;;;;;;;;
脚光を浴びる;きゃっこうをあびる;to be performed (on the stage);exp, v1;0;;;;;;;;;;;
危ない;あぶない;dangerous, critical;adj-i;5;Look out!;<ruby>危<rt>あぶ</rt></ruby>ない！;dangerous, risky, hazardous, perilous, precarious;adj-i;in danger, in jeopardy, critical, grave, at risk;adj-i;uncertain, unreliable, insecure, unsteady, doubtful;adj-i;危ない橋を渡る;;
危ない橋を渡る;あぶないはしをわたる;to tread on thin ice;exp, v5r;0;;;;;;;;;;;
甘い;あまい;generous, sweet;adj-i;5;He's a pushover.;<ruby>甘<rt>あま</rt></ruby>いなあ。;sweet-tasting, sweet, sugary, sugared;adj-i;fragrant (smelling), sweet (music);adj-i;lightly salted, light in salt, not spicy;adj-i;甘いもの好き;甘いもの;甘い顔をする
甘いもの好き;あまいものずき;sweet tooth;n;0;;;;;;;;;;;
甘いもの;あまいもの;sweets;n;0;;;;;;;;;;;
甘い顔をする;あまいかおをする;to go easy on someone;exp, vs-i;0;;;;;;;;;;;
余り;あまり;not very, surplus;n, adj-no;5;Those are the leftovers from lunch.;これはお<ruby>昼<rt>ひる</rt></ruby>の<ruby>余<rt>あま</rt></ruby>りです。;remainder, remnant, rest, balance, surplus, remains (of a meal), leftovers;n, adj-no;(not) very, (not) much;adv;too much, excessively, overly;adv;余り物;余り物に福がある;余りに
余り物;あまりもの;leftovers;n;0;;;;;;;;;;;
余り物に福がある;あまりものにふくがある;do not despair because you are the last to take your pick;exp, v5r-i;0;;;;;;;;;;;
余りに;あまりに;too (much);adv;0;;;;;;;;;;;
雨;あめ;rain;n;5;Where is the rain?;<ruby>雨<rt>あめ</rt></ruby>はどこ？;rain;n;rainy day, rainy weather;n;the November suit (in hanafuda);n;雨後の筍;雨交じり;雨漏り
雨後の筍;うごのたけのこ;similar things turning up one after another;exp;0;;;;;;;;;;;
雨交じり;あめまじり;(something) mixed with rain (snow, wind, etc.);exp, adj-no;0;;;;;;;;;;;
雨漏り;あまもり;roof leak;n, vs, vi;0;;;;;;;;;;;
飴;あめ;(hard) candy;n;5;Whose candy is this?;これ、<ruby>誰<rt>だれ</rt></ruby>の<ruby>飴<rt>あめ</rt></ruby>？;(hard) candy, toffee;n;rice-sugar, sugar made from the starch of rice, potatoes, etc.;n;amber, yellowish-brown;n;飴と鞭;飴粕;飴売り
飴と鞭;アメとムチ;carrot and stick;exp, n;0;;;;;;;;;;;
飴粕;あめかす;residue left after making starch syrup;n;0;;;;;;;;;;;
飴売り;あめうり;candy vendor (esp. an Edo-period candy vendor who sold candy while walking around playing the flute or another musical instrument);n;0;;;;;;;;;;;
洗う;あらう;to wash;v5u, vt;5;Blood will have blood.;<ruby>血<rt>ち</rt></ruby>で<ruby>血<rt>ち</rt></ruby>を<ruby>洗<rt>あら</rt></ruby>う。;to wash, to cleanse, to rinse;v5u, vt;to inquire into, to investigate;v5u, vt;to purify (one's heart);v5u, vt;芋を洗うよう;猫耳を洗うと雨が降る;赤貧洗うが如し
芋を洗うよう;いもをあらうよう;with people jostling against one another;exp, adj-na;0;;;;;;;;;;;
猫耳を洗うと雨が降る;ねこみみをあらうとあめがふる;if a cat washes its ears, rain is coming;exp, v5r;0;;;;;;;;;;;
赤貧洗うが如し;せきひんあらうがごとし;extremely indigent;exp;0;;;;;;;;;;;
在る;ある;to be, to have;v5r-i, vi;5;The hut is below the peak.;<ruby>山小屋<rt>やまごや</rt></ruby>は<ruby>頂上<rt>ちょうじょう</rt></ruby>の<ruby>下<rt>した</rt></ruby>の<ruby>方<rt>ほう</rt></ruby>に<ruby>在<rt>あ</rt></ruby>る。;to be, to exist, to live;v5r-i, vi;to have;v5r-i, vi;to be located;v5r-i, vi;在るがまま;ある事ない事;有るだけ
在るがまま;あるがまま;as it is;exp, adj-no, adv, n;0;;;;;;;;;;;
ある事ない事;あることないこと;mixture of fact and fiction;exp, n;0;;;;;;;;;;;
有るだけ;あるだけ;all that one has;exp;0;;;;;;;;;;;
有る;ある;to be, to have;v5r-i, vi;5;Beautiful flowers have thorns.;<ruby>奇麗<rt>きれい</rt></ruby>な<ruby>花<rt>はな</rt></ruby>には<ruby>刺<rt>とげ</rt></ruby>が<ruby>有<rt>あ</rt></ruby>る。;to be, to exist, to live;v5r-i, vi;to have;v5r-i, vi;to be located;v5r-i, vi;ある事ない事;在るがまま;有るだけ
ある事ない事;あることないこと;mixture of fact and fiction;exp, n;0;;;;;;;;;;;
在るがまま;あるがまま;as it is;exp, adj-no, adv, n;0;;;;;;;;;;;
有るだけ;あるだけ;all that one has;exp;0;;;;;;;;;;;
歩く;あるく;to walk;v5k, vi;5;Are you a walking dictionary?;<ruby>歩<rt>ある</rt></ruby>く<ruby>辞書<rt>じしょ</rt></ruby>なの？;to walk;v5k, vi;;;;;練り歩く;浮かれ歩く;飲み歩く
練り歩く;ねりあるく;to parade;v5k, vi;0;;;;;;;;;;;
